ACSSF,2010m5,ar,001,0005,0000037,60,91,67,303,196,187,261,167,131,181,119,87,155,87,76,119,119,119,60,303,332,88,82,35,331,248,239,178,155,132,84,15,12,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000038,226,225,216,1592,931,833,1224,646,712,736,520,299,662,366,379,149,83,104,226,1592,1562,719,711,34,1321,907,1015,743,662,40,193,606,355,149,119,119,149,226,1592,1562,1224,970,665,878,510,718,281,428,149
ACSSF,2010m5,ar,001,0005,0000039,89,90,127,610,322,352,328,188,201,438,250,231,157,66,105,116,60,67,89,610,550,258,258,119,514,235,464,438,157,52,75,106,119,116,119,119,116,89,610,550,453,359,385,261,234,119,22,131,116
ACSSF,2010m5,ar,001,0005,0000040,143,164,173,862,542,506,715,455,395,364,203,239,275,116,213,85,65,37,143,862,877,661,661,119,698,462,480,364,275,119,192,210,40,85,119,119,85,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000041,105,163,171,705,419,413,586,344,305,324,179,224,227,130,133,48,14,47,105,705,693,495,495,119,517,309,353,324,227,119,62,172,170,48,119,47,14,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000042,103,153,142,697,343,496,494,255,318,403,192,316,304,149,181,7,4,3,103,697,679,250,250,119,634,392,518,403,304,119,35,131,267,7,119,119,7,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000043,50,92,90,437,266,286,418,222,256,132,66,87,141,27,140,19,18,17,50,437,440,317,317,119,321,284,184,132,141,11,13,141,119,19,119,119,19,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000044,163,261,223,1161,624,660,929,445,578,623,336,320,371,152,239,125,75,58,163,1161,1110,525,525,119,895,649,653,623,371,22,218,265,57,125,119,119,125,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000045,37,78,82,386,243,198,228,118,118,168,126,83,187,111,101,51,119,51,37,386,372,163,163,119,373,190,272,168,187,17,121,138,54,51,119,119,51,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000046,90,103,80,535,333,332,344,192,214,407,249,269,207,134,93,119,119,119,90,535,536,252,252,119,502,240,452,407,207,119,82,177,27,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
