GEO_ID,COUNTY,TOTAL,TOTALurban,TOTALinsideurbanizedareas,TOTALurbanclusters,TOTALrural,STATE
72137,Toa Baja Municipio,89609,89609,89609,0,0,PuertoRico
42043,Dauphin,268100,232380,222771,9609,35720,Pennsylvania
13251,Screven,14593,3076,0,3076,11517,Georgia
31105,Kimball,3821,0,0,0,3821,Nebraska
8097,Pitkin,17148,9568,0,9568,7580,Colorado
18123,Perry,19338,8694,0,8694,10644,Indiana
72087,Lo?za Municipio,30060,29839,29839,0,221,PuertoRico
51163,Rockbridge,22307,1865,0,1865,20442,Virginia
2198,Prince of Wales-Hyder Census Area,5559,0,0,0,5559,Alaska
39015,Brown,44846,10512,0,10512,34334,Ohio
47047,Fayette,38413,8050,124,7926,30363,Tennessee
20057,Ford,33848,27316,0,27316,6532,Kansas
26005,Allegan,111408,39586,9558,30028,71822,Michigan
17171,Scott,5355,0,0,0,5355,Illinois
48141,El Paso,800647,783238,772374,10864,17409,Texas
30109,Wibaux,1017,0,0,0,1017,Montana
40045,Ellis,4151,0,0,0,4151,Oklahoma
13039,Camden,50513,34630,0,34630,15883,Georgia
26121,Muskegon,172188,132043,121605,10438,40145,Michigan
19033,Cerro Gordo,44151,35059,0,35059,9092,Iowa
28145,Union,27134,6632,0,6632,20502,Mississippi
48317,Martin,4799,0,0,0,4799,Texas
41045,Malheur,31313,16152,0,16152,15161,Oregon
22065,Madison Parish,12093,9379,0,9379,2714,Louisiana
5031,Craighead,96443,65419,65419,0,31024,Arkansas
45053,Jasper,24777,8258,0,8258,16519,SouthCarolina
13259,Stewart,6058,0,0,0,6058,Georgia
19041,Clay,16667,10952,0,10952,5715,Iowa
19117,Lucas,8898,3893,0,3893,5005,Iowa
48009,Archer,9054,997,997,0,8057,Texas
28055,Issaquena,1406,0,0,0,1406,Mississippi
6031,Kings,152982,136381,87941,48440,16601,California
13265,Taliaferro,1717,0,0,0,1717,Georgia
38021,Dickey,5289,0,0,0,5289,NorthDakota
38053,McKenzie,6360,0,0,0,6360,NorthDakota
13083,Dade,16633,4636,1786,2850,11997,Georgia
17109,McDonough,32612,22990,0,22990,9622,Illinois
13255,Spalding,64073,37406,37406,0,26667,Georgia
8073,Lincoln,5467,0,0,0,5467,Colorado
26113,Missaukee,14849,0,0,0,14849,Michigan
1033,Colbert,54428,30537,30066,471,23891,Alabama
39175,Wyandot,22615,9630,0,9630,12985,Ohio
40041,Delaware,41487,7834,0,7834,33653,Oklahoma
16063,Lincoln,5208,0,0,0,5208,Idaho
26069,Iosco,25887,10638,0,10638,15249,Michigan
39005,Ashland,53139,20226,0,20226,32913,Ohio
36053,Madison,73442,30151,286,29865,43291,NewYork
29081,Harrison,8957,2652,0,2652,6305,Missouri
72025,Caguas Municipio,142893,141612,141612,0,1281,PuertoRico
39119,Muskingum,86074,45591,0,45591,40483,Ohio
22031,De Soto Parish,26656,6061,0,6061,20595,Louisiana
6075,San Francisco,805235,805235,805235,0,0,California
29101,Johnson,52595,26064,0,26064,26531,Missouri
48455,Trinity,14585,3320,0,3320,11265,Texas
17019,Champaign,201081,175523,145361,30162,25558,Illinois
6111,Ventura,823318,797593,752770,44823,25725,California
20001,Allen,13371,5729,0,5729,7642,Kansas
21153,Magoffin,13333,0,0,0,13333,Kentucky
5023,Cleburne,25970,6357,0,6357,19613,Arkansas
49005,Cache,112656,94983,94983,0,17673,Utah
17097,Lake,703462,694547,694547,0,8915,Illinois
13167,Johnson,9980,3452,0,3452,6528,Georgia
5091,Miller,43462,26072,26072,0,17390,Arkansas
48033,Borden,641,0,0,0,641,Texas
31047,Dawson,24326,17842,0,17842,6484,Nebraska
56039,Teton,21294,11407,0,11407,9887,Wyoming
12017,Citrus,141236,92483,79279,13204,48753,Florida
20055,Finney,36776,29942,0,29942,6834,Kansas
17003,Alexander,8238,3142,309,2833,5096,Illinois
19111,Lee,35862,21296,0,21296,14566,Iowa
19169,Story,89542,74378,60245,14133,15164,Iowa
26135,Oscoda,8640,0,0,0,8640,Michigan
17197,Will,677560,650936,629798,21138,26624,Illinois
48139,Ellis,149610,101772,83514,18258,47838,Texas
27079,Le Sueur,27703,10483,0,10483,17220,Minnesota
13021,Bibb,155547,133132,133132,0,22415,Georgia
29171,Putnam,4979,0,0,0,4979,Missouri
48279,Lamb,13977,5914,0,5914,8063,Texas
31103,Keya Paha,824,0,0,0,824,Nebraska
6069,San Benito,55269,42002,0,42002,13267,California
47085,Humphreys,18538,3246,0,3246,15292,Tennessee
72003,Aguada Municipio,41959,41959,41959,0,0,PuertoRico
28121,Rankin,141617,93599,93599,0,48018,Mississippi
33011,Hillsborough,400721,315803,308754,7049,84918,NewHampshire
2230,Skagway Municipality,968,0,0,0,968,Alaska
20169,Saline,55606,47493,0,47493,8113,Kansas
13311,White,27144,4399,0,4399,22745,Georgia
16015,Boise,7028,0,0,0,7028,Idaho
5063,Independence,36647,11513,0,11513,25134,Arkansas
38033,Golden Valley,1680,0,0,0,1680,NorthDakota
19179,Wapello,35625,24771,0,24771,10854,Iowa
20201,Washington,5799,0,0,0,5799,Kansas
21165,Menifee,6306,0,0,0,6306,Kentucky
48045,Briscoe,1637,0,0,0,1637,Texas
47145,Roane,54181,26553,3038,23515,27628,Tennessee
21205,Rowan,23333,7282,0,7282,16051,Kentucky
29083,Henry,22272,11237,0,11237,11035,Missouri
51177,Spotsylvania,122397,82829,82829,0,39568,Virginia
2050,Bethel Census Area,17013,4434,0,4434,12579,Alaska
17009,Brown,6937,4088,0,4088,2849,Illinois
12079,Madison,19224,3843,0,3843,15381,Florida
51067,Franklin,56159,6048,0,6048,50111,Virginia
46019,Butte,10110,5240,0,5240,4870,SouthDakota
38103,Wells,4207,0,0,0,4207,NorthDakota
19053,Decatur,8457,0,0,0,8457,Iowa
21155,Marion,19820,5646,0,5646,14174,Kentucky
29089,Howard,10144,3646,0,3646,6498,Missouri
21099,Hart,18199,2332,0,2332,15867,Kentucky
30101,Toole,5324,3037,0,3037,2287,Montana
46037,Day,5710,0,0,0,5710,SouthDakota
13053,Chattahoochee,11267,7941,7941,0,3326,Georgia
37127,Nash,95840,50256,50256,0,45584,NorthCarolina
37141,Pender,52217,16315,2143,14172,35902,NorthCarolina
72085,Las Piedras Municipio,38675,37734,37734,0,941,PuertoRico
46033,Custer,8216,0,0,0,8216,SouthDakota
26141,Presque Isle,13376,2560,0,2560,10816,Michigan
28027,Coahoma,26151,17783,0,17783,8368,Mississippi
37029,Camden,9980,45,0,45,9935,NorthCarolina
13281,Towns,10471,0,0,0,10471,Georgia
38037,Grant,2394,0,0,0,2394,NorthDakota
29109,Lawrence,38634,15961,0,15961,22673,Missouri
37169,Stokes,47401,11520,11520,0,35881,NorthCarolina
4013,Maricopa,3817117,3726888,3686117,40771,90229,Arizona
37019,Brunswick,107431,61278,39915,21363,46153,NorthCarolina
20091,Johnson,544179,523317,515552,7765,20862,Kansas
39071,Highland,43589,11768,0,11768,31821,Ohio
6037,Los Angeles,9818605,9759181,9743650,15531,59424,California
48249,Jim Wells,40838,24468,0,24468,16370,Texas
31099,Kearney,6489,2949,0,2949,3540,Nebraska
46049,Faulk,2364,0,0,0,2364,SouthDakota
36115,Washington,63216,20293,14991,5302,42923,NewYork
54097,Upshur,24254,8731,0,8731,15523,WestVirginia
47091,Johnson,18244,2698,0,2698,15546,Tennessee
36021,Columbia,63096,16848,0,16848,46248,NewYork
8051,Gunnison,15324,6343,0,6343,8981,Colorado
5035,Crittenden,50902,40270,40270,0,10632,Arkansas
51139,Page,24042,4770,0,4770,19272,Virginia
27149,Stevens,9726,5123,0,5123,4603,Minnesota
29099,Jefferson,218733,152684,142807,9877,66049,Missouri
